,Data,precipitacao_observada,Horario,Datetime,BoaVista_ws10,BoaVista_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_BoaVista,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_BoaVista,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 21:00:00,2021-08-04,0.0,21:00:00,2021-08-04 21:00:00,3.3389,161.513,3.26901,159.268,3.30319,164.13,3.11758,159.423,3.53254,165.736,3.04259,161.871,3.2037,157.323,3.57406,166.423,3.37232,165.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3827,19.6405,19.3271,19.382,19.5679,19.1996,19.5776,19.465,19.7207
2021-08-04 22:00:00,2021-08-04,0.0,22:00:00,2021-08-04 22:00:00,2.58618,152.556,2.53269,152.631,2.63581,152.522,2.5338,151.475,2.68087,152.61,2.62303,152.25,2.52524,150.416,2.79902,152.656,2.57617,152.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2422,19.4859,19.1987,19.2255,19.4764,19.053,19.405,19.3966,19.6118
2021-08-04 23:00:00,2021-08-04,0.0,23:00:00,2021-08-04 23:00:00,1.4371,148.224,1.39267,147.356,1.47032,145.394,1.3458,146.855,1.62637,145.325,1.37311,146.891,1.44228,142.678,1.85817,144.314,1.42873,146.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0758,19.3309,19.0272,19.0382,19.3265,18.8566,19.2222,19.2646,19.4565
2021-08-05 00:00:00,2021-08-05,0.0,00:00:00,2021-08-05 00:00:00,0.479812,51.8388,0.61608,82.9033,0.59664,35.5986,0.289998,55.7827,0.635571,53.9283,0.448474,27.1663,0.189099,99.9179,0.930293,32.7577,0.737884,76.8529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7733,18.733,18.8113,18.7916,18.7523,18.8302,18.7509,18.7901,18.7125
2021-08-05 01:00:00,2021-08-05,0.0,01:00:00,2021-08-05 01:00:00,0.527591,85.1221,0.528245,47.4776,0.576172,101.329,0.661362,96.3888,0.520805,55.6971,0.704853,111.61,0.579876,74.715,0.463495,87.4648,0.592777,34.7241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9601,18.073,17.9505,17.9311,18.1233,17.8069,18.0373,18.1921,18.1374
2021-08-05 02:00:00,2021-08-05,0.0,02:00:00,2021-08-05 02:00:00,0.892175,31.4495,0.869278,39.8571,0.884884,23.0768,0.675376,37.451,0.965248,38.7254,0.603443,48.6991,0.861179,38.2678,0.99874,26.4407,0.890044,46.3374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2458,17.3641,17.3107,17.3209,17.4245,17.2689,17.3425,17.4192,17.4774
2021-08-05 03:00:00,2021-08-05,0.0,03:00:00,2021-08-05 03:00:00,1.30208,33.2806,1.27077,35.1705,1.36546,33.9015,1.10413,36.8955,1.21006,28.4284,1.27003,41.1337,1.13336,32.9999,1.30821,25.0494,1.21092,33.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6159,17.7171,17.6338,17.5822,17.561,17.4548,17.7132,17.3386,17.2436
2021-08-05 04:00:00,2021-08-05,0.0,04:00:00,2021-08-05 04:00:00,1.48301,8.37799,1.50637,12.8284,1.50049,15.8744,1.16987,22.2743,1.55486,7.65427,1.21167,37.4966,1.49392,20.4997,1.66726,0.456116,1.54766,16.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3809,17.4359,17.4785,17.3604,17.5274,17.3087,17.3812,17.5921,17.4493
2021-08-05 05:00:00,2021-08-05,0.0,05:00:00,2021-08-05 05:00:00,1.14664,357.434,1.032,1.00177,1.06485,7.10349,1.12746,358.751,1.20291,13.1143,1.06545,6.97092,1.21043,2.63779,1.12138,11.728,1.05154,23.0319,1.23833e-08,1.53113e-09,7.5464e-08,3.93861e-05,7.4339e-09,0.000122001,4.72248e-06,1.95206e-07,9.59174e-11,16.9033,17.0132,16.7554,16.8579,17.0728,16.632,16.9398,16.8391,17.1331
2021-08-05 06:00:00,2021-08-05,0.0,06:00:00,2021-08-05 06:00:00,0.661289,34.0056,0.6689,46.2138,0.646924,19.5681,0.640669,28.0315,0.702494,29.9792,0.540626,26.4636,0.604308,27.2868,0.795308,11.2878,0.649138,47.3372,1.23833e-08,1.53113e-09,7.5464e-08,3.93861e-05,7.4339e-09,0.000122001,4.72248e-06,1.95206e-07,9.59174e-11,16.5767,16.6686,16.5287,16.5085,16.5401,16.3954,16.5154,16.5096,16.6194
