,Data,precipitacao_observada,Horario,Datetime,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 21:00:00,2021-08-04,0.0,21:00:00,2021-08-04 21:00:00,3.21295,157.164,3.08438,157.815,3.2037,157.323,3.23502,156.273,3.16017,158.44,3.16108,156.568,3.12007,156.216,3.26901,159.268,3.01388,159.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6478,19.7702,19.5776,19.309,19.8127,19.3434,19.4813,19.6405,19.88
2021-08-04 22:00:00,2021-08-04,0.0,22:00:00,2021-08-04 22:00:00,2.46861,149.997,2.28829,149.109,2.52524,150.416,2.68047,144.047,2.47787,153.159,2.57534,143.592,2.57774,145.844,2.53269,152.631,2.33042,152.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4453,19.5349,19.405,19.0491,19.6463,19.1278,19.1871,19.4859,19.6997
2021-08-04 23:00:00,2021-08-04,0.0,23:00:00,2021-08-04 23:00:00,1.43221,142.812,1.52266,144.696,1.44228,142.678,1.60992,138.438,1.35962,146.347,1.49526,134.228,1.5904,144.607,1.39267,147.356,1.50371,144.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2423,19.4311,19.2222,18.8219,19.4757,18.8936,18.9543,19.3309,19.6653
2021-08-05 00:00:00,2021-08-05,0.0,00:00:00,2021-08-05 00:00:00,0.247632,149.938,0.363623,154.475,0.189099,99.9179,0.378113,203.54,0.61301,94.358,0.301436,206.497,0.444933,206.13,0.61608,82.9033,0.633597,103.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7076,18.6613,18.7509,18.7223,18.6902,18.7661,18.6754,18.733,18.6443
2021-08-05 01:00:00,2021-08-05,0.0,01:00:00,2021-08-05 01:00:00,0.634199,41.1986,0.928179,34.6325,0.579876,74.715,0.76955,78.7767,0.750679,25.0276,0.827104,89.4028,0.933975,58.5764,0.528245,47.4776,0.929153,27.4992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.047,17.9959,18.0373,17.8102,18.0822,17.8256,17.7818,18.073,18.0457
2021-08-05 02:00:00,2021-08-05,0.0,02:00:00,2021-08-05 02:00:00,0.856976,44.3547,0.789651,55.0727,0.861179,38.2678,0.822771,51.5186,0.831923,44.0933,0.708601,49.4248,0.761905,62.6054,0.869278,39.8571,0.811806,47.5006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3261,17.3528,17.3425,17.0742,17.4401,17.227,17.0727,17.3641,17.449
2021-08-05 03:00:00,2021-08-05,0.0,03:00:00,2021-08-05 03:00:00,1.22871,40.1818,1.18351,49.8383,1.13336,32.9999,1.10714,37.4854,1.26044,40.1523,0.838088,27.4488,0.983978,51.5744,1.27077,35.1705,1.25276,47.3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5657,17.2399,17.7132,17.3673,17.2671,17.4836,17.1921,17.7171,17.2753
2021-08-05 04:00:00,2021-08-05,0.0,04:00:00,2021-08-05 04:00:00,1.80893,27.3761,1.8777,36.5577,1.49392,20.4997,1.88712,33.4071,1.69791,24.3409,1.60259,26.0894,1.87664,43.7515,1.50637,12.8284,1.88728,34.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2474,17.1003,17.3812,16.9469,17.3661,17.1802,16.754,17.4359,17.1974
2021-08-05 05:00:00,2021-08-05,0.0,05:00:00,2021-08-05 05:00:00,1.2281,15.2228,1.17278,32.4767,1.21043,2.63779,1.31448,10.8239,1.05532,22.9864,1.12311,4.91962,1.0867,26.3722,1.032,1.00177,1.30187,45.1268,2.96901e-09,2.25249e-10,4.72248e-06,1.15402e-07,2.60884e-11,0.000250206,4.43529e-09,1.53113e-09,5.13816e-10,16.9197,16.8785,16.9398,16.6299,17.0442,16.5659,16.5855,17.0132,16.9265
2021-08-05 06:00:00,2021-08-05,2.0,06:00:00,2021-08-05 06:00:00,0.692644,33.2939,0.71256,43.5724,0.604308,27.2868,0.585332,12.9049,0.672127,47.6041,0.670323,3.15674,0.472693,38.0855,0.6689,46.2138,0.77189,53.5351,2.96901e-09,2.25249e-10,4.72248e-06,1.15402e-07,2.60884e-11,0.000250206,4.43529e-09,1.53113e-09,5.13816e-10,16.5262,16.4779,16.5154,16.2678,16.625,16.2569,16.283,16.6686,16.7072
2021-08-05 07:00:00,2021-08-05,0.0,07:00:00,2021-08-05 07:00:00,1.06528,27.3892,1.16353,39.7119,1.02663,14.6747,0.98063,18.3751,1.21391,31.1341,1.06264,4.45758,0.927904,37.6282,1.14003,22.3239,1.48031,39.4987,2.96901e-09,2.25249e-10,4.72248e-06,1.15402e-07,2.60884e-11,0.000250206,4.43529e-09,1.53113e-09,5.13816e-10,16.2681,16.2179,16.2867,15.9865,16.3913,16.0187,15.9666,16.4232,16.3908
2021-08-05 08:00:00,2021-08-05,0.0,08:00:00,2021-08-05 08:00:00,1.74176,28.5894,1.69694,36.7448,1.60427,20.4048,1.67633,31.1769,1.56547,27.513,1.55675,21.4959,1.68656,41.4246,1.49529,18.2173,1.7231,35.8357,2.85855e-09,7.00548e-08,0.0,1.77782e-08,1.93594e-07,0.0,2.47027e-08,2.25602e-08,4.84056e-05,15.6841,15.5939,15.8049,15.4586,15.67,15.6191,15.3578,15.838,15.38
2021-08-05 09:00:00,2021-08-05,0.0,09:00:00,2021-08-05 09:00:00,1.21116,26.1427,1.20414,41.3036,1.20052,15.3819,1.21626,20.5479,1.33199,36.2217,1.12782,7.84149,1.1143,38.2267,1.30397,25.3924,1.41867,47.1281,3.12205e-07,0.000226986,0.000325143,6.67374e-08,0.000533601,4.96802e-08,2.18627e-07,2.49979e-06,0.0117212,15.3529,15.3087,15.3835,15.2156,15.5095,15.2502,15.1526,15.4843,15.4676
2021-08-05 10:00:00,2021-08-05,0.0,10:00:00,2021-08-05 10:00:00,0.247632,149.938,0.363623,154.475,0.189099,99.9179,0.378113,203.54,0.61301,94.358,0.301436,206.497,0.444933,206.13,0.61608,82.9033,0.633597,103.174,4.29074e-07,0.000346293,0.00758869,7.30082e-06,0.000533601,0.00663427,2.35881e-07,0.000158025,0.0117378,15.278,15.2648,15.2974,15.185,15.4944,15.157,15.2242,15.4904,15.463
2021-08-05 11:00:00,2021-08-05,1.0,11:00:00,2021-08-05 11:00:00,0.39318,320.38,0.333956,277.94,0.610631,341.64,0.504694,252.323,0.54296,340.051,0.375814,301.84,0.755586,243.575,0.753728,341.633,0.285138,334.368,4.26521e-07,0.000346223,0.00760072,5.14938e-05,0.000533408,0.0103171,2.12937e-07,0.000158002,0.0116894,15.7974,15.6451,15.9422,15.3422,16.1647,15.3756,15.383,16.1509,16.087
2021-08-05 12:00:00,2021-08-05,1.0,12:00:00,2021-08-05 12:00:00,1.06314,336.769,0.912052,345.868,1.35039,327.854,1.02388,324.927,0.935783,345.156,1.16224,322.091,0.929889,323.393,1.22019,338.989,0.984151,358.414,1.17175e-07,0.000119307,0.00727558,5.14448e-05,0.0,0.0103171,1.90128e-08,0.000155525,1.6558e-05,16.7169,16.5273,17.0615,16.6019,16.7778,17.0009,16.3527,16.8668,16.7974
2021-08-05 13:00:00,2021-08-05,1.0,13:00:00,2021-08-05 13:00:00,1.08032,317.221,0.992754,316.125,1.14275,321.397,1.18674,304.946,0.960637,342.283,1.15679,307.693,1.0946,304.153,0.984007,338.465,1.05523,336.087,3.06272e-10,0.0,1.20341e-05,4.42108e-05,0.0,0.00368287,1.75788e-09,0.0,0.0,18.6147,18.4583,18.8341,18.5105,18.6284,18.7694,18.405,18.784,18.3392
2021-08-05 14:00:00,2021-08-05,1.0,14:00:00,2021-08-05 14:00:00,1.2887,324.71,1.39402,317.154,1.21083,321.943,1.29449,321.466,1.39407,326.737,1.2232,313.09,1.2704,320.353,1.32821,319.953,1.53845,323.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4084,20.2114,20.5863,20.2913,20.3798,20.5431,20.1875,20.4534,19.9878
2021-08-05 15:00:00,2021-08-05,0.0,15:00:00,2021-08-05 15:00:00,1.57295,231.339,2.06098,292.162,2.37298,197.753,2.03578,222.191,1.57933,240.67,2.50385,205.947,2.20005,271.502,2.27831,193.87,1.96885,293.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4019,21.2191,20.8911,21.0339,21.5013,20.6449,21.2025,21.2332,21.1495
