,index,Data,Horario,precipitacao_observada,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW,DataHora
1162,457,2021-02-05,1500 UTC,0.0,6.27837,194.079,6.1664400000000015,190.893,6.3659,197.187,6.47856,195.785,6.20521,197.341,6.43746,199.985,6.5824,192.76,6.3644,199.818,6.168019999999999,193.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5498,32.0627,31.1448,30.9272,32.0255,30.6326,31.4369,31.5614,32.4709,2021-02-05 15:00:00+00:00
2185,458,2021-02-05,1600 UTC,0.2,6.52861,200.226,6.32377,197.351,6.814189999999999,203.329,6.760439999999999,202.866,6.34842,197.859,7.05247,206.1,6.587160000000001,200.64,6.636819999999998,201.289,6.14251,194.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1714,31.5645,30.83,30.7447,31.5096,30.455,31.1372,31.0595,31.952,2021-02-05 16:00:00+00:00
1857,459,2021-02-05,2300 UTC,2.4,3.96125,138.111,3.63976,136.884,4.12127,139.137,4.0894900000000005,138.697,3.86286,137.10399999999998,4.0369,138.122,3.85426,139.21200000000002,4.1283,139.043,3.5188,134.238,0.22436,0.5085729999999999,0.169117,0.318732,0.192331,0.197473,0.619877,0.16283,0.325859,26.0214,26.0342,25.9731,25.56,26.2834,25.6689,25.6223,26.0866,26.306,2021-02-05 23:00:00+00:00
724,460,2021-02-05,1700 UTC,0.0,7.465089999999999,203.166,7.11866,199.993,7.80125,206.103,7.3753199999999985,204.0,7.613810000000001,202.605,7.69238,207.23,7.09037,201.146,8.04352,205.402,7.22887,199.602,1.65967e-07,8.93506e-07,1.78952e-10,6.8003100000000015e-06,2.28559e-08,1.63268e-07,0.000734154,3.00896e-11,1.34766e-06,29.3518,29.9626,28.8226,28.6834,29.9158,28.3632,29.3847,29.2794,30.4156,2021-02-05 17:00:00+00:00
516,461,2021-02-05,2200 UTC,14.8,4.76924,160.761,4.58598,162.88299999999995,4.7779,159.029,4.850569999999999,159.91299999999995,4.63044,160.444,4.787059999999999,158.542,4.69869,161.906,4.6883300000000006,159.256,4.5301800000000005,162.30200000000005,0.205401,0.247196,0.167485,0.243179,0.19113,0.195524,0.284426,0.160863,0.212051,26.0927,26.2623,25.9659,25.7582,26.2706,25.7546,25.9581,26.0487,26.4039,2021-02-05 22:00:00+00:00
2911,462,2021-02-05,1900 UTC,9.4,7.12886,189.293,7.0662,188.568,7.13967,190.42,6.97319,189.479,7.32357,190.503,6.86415,190.816,7.04518,189.383,7.367439999999998,191.251,7.299989999999998,189.43400000000003,1.65972e-07,8.93506e-07,3.3640699999999995e-10,6.80052e-06,2.28559e-08,1.66064e-07,0.000734154,3.15771e-11,1.34766e-06,27.3734,27.5945,27.217,27.0708,27.5242,27.0198,27.3103,27.2823,27.7099,2021-02-05 19:00:00+00:00
11253,463,2021-02-05,2000 UTC,1.4,6.5293800000000015,181.123,6.56784,181.314,6.45169,182.319,6.36701,181.182,6.6620300000000015,182.562,6.09725,181.845,6.55929,182.295,6.7617600000000015,183.75,6.58718,182.183,4.47642e-12,0.0,1.57456e-10,2.0918400000000003e-10,0.0,2.796280000000001e-09,0.0,1.48755e-12,0.0,26.863000000000003,27.0551,26.733,26.5436,27.0763,26.5193,26.7567,26.8536,27.2245,2021-02-05 20:00:00+00:00
3778,464,2021-02-05,2100 UTC,0.8,5.96277,173.965,6.0474,175.08,5.81671,173.895,6.04941,174.02200000000005,6.05964,173.16,5.80201,173.34799999999996,6.1574,175.81,6.119219999999999,173.78400000000005,6.08081,173.375,0.0156393,0.00580908,0.0263558,0.0183225,0.00165825,0.0458011999999999,0.00478547,0.00478844,0.00120686,26.203000000000007,26.3683,26.0984,25.8775,26.4614,25.8641,26.0874,26.2671,26.5705,2021-02-05 21:00:00+00:00
6997,465,2021-02-05,1300 UTC,0.0,4.2702800000000005,312.012,4.5638,311.476,3.81364,306.05,4.674869999999999,310.012,3.76385,303.971,4.3715,310.7940000000001,4.59628,306.337,3.78501,295.14,4.27529,312.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9305,32.8565,33.0381,32.5822,33.1461,32.7576,32.6689,33.1606,32.867,2021-02-05 13:00:00+00:00
1685,466,2021-02-05,1800 UTC,0.0,8.496939999999999,196.042,8.64322,195.322,8.24823,197.471,8.31577,198.256,8.5996,193.564,7.9568699999999986,200.346,8.61886,197.579,8.46786,194.552,8.72283,192.823,1.65972e-07,8.93506e-07,3.3640699999999995e-10,6.80052e-06,2.28559e-08,1.66064e-07,0.000734154,3.15771e-11,1.34766e-06,27.8146,28.1195,27.6123,27.5021,27.9851,27.3904,27.8103,27.6719,28.2599,2021-02-05 18:00:00+00:00
6371,467,2021-02-05,1200 UTC,0.0,5.20217,302.422,5.37306,300.377,5.02366,306.765,5.23575,299.402,4.82411,304.771,5.289969999999999,302.825,5.20195,300.396,4.39608,308.629,5.36174,301.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.342,31.1247,31.4763,30.9915,31.5962,31.1823,31.1315,31.5591,31.2547,2021-02-05 12:00:00+00:00
1812,468,2021-02-05,0600 UTC,0.0,0.790199,42.1525,0.983461,83.6552,0.964254,50.3107,1.10922,54.8825,0.367627,39.1459,1.26209,46.7501,1.27479,85.2078,0.742102,82.6066,0.407054,71.8247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1145,29.1173,28.9928,28.8266,29.1914,28.7582,28.8807,28.7996,29.2078,2021-02-05 06:00:00+00:00
